iter	Passed	Remaining
0	113	113334
1	114	56929
2	114	38087
3	115	28717
4	115	23056
5	116	19272
6	116	16575
7	117	14548
8	117	12974
9	118	11720
10	119	10716
11	119	9862
12	120	9142
13	121	8532
14	121	7994
15	122	7529
16	123	7114
17	123	6740
18	124	6405
19	124	6104
20	125	5832
21	125	5586
22	126	5369
23	127	5173
24	127	4985
25	128	4809
26	128	4645
27	129	4493
28	129	4352
29	130	4221
30	131	4099
31	131	3984
32	132	3881
33	133	3781
34	134	3715
35	135	3639
36	136	3558
37	137	3481
38	138	3404
39	138	3330
40	139	3260
41	140	3193
42	140	3129
43	141	3068
44	141	3010
45	142	2954
46	143	2899
47	143	2848
48	144	2798
49	145	2760
50	146	2716
51	146	2672
52	147	2630
53	147	2591
54	148	2555
55	149	2523
56	150	2487
57	151	2455
58	151	2422
59	152	2389
60	153	2358
61	153	2326
62	154	2296
63	154	2266
64	155	2237
65	156	2209
66	156	2182
67	157	2156
68	157	2130
69	158	2108
70	159	2088
71	160	2065
72	160	2043
73	161	2021
74	177	2186
75	178	2167
76	179	2148
77	180	2128
78	180	2106
79	181	2084
80	181	2063
81	182	2042
82	182	2018
83	183	1999
84	184	1982
85	184	1962
86	185	1943
87	185	1924
88	186	1906
89	186	1888
90	187	1870
91	187	1853
92	188	1835
93	188	1819
94	189	1803
95	189	1787
96	190	1773
97	191	1759
98	191	1744
99	192	1729
100	192	1715
101	193	1701
102	193	1688
103	194	1676
104	195	1664
105	195	1652
106	196	1641
107	197	1632
108	198	1620
109	199	1610
110	199	1598
111	200	1586
112	200	1575
113	201	1563
114	201	1552
115	202	1541
116	202	1531
117	203	1521
118	204	1515
119	205	1505
120	205	1495
121	206	1485
122	206	1475
123	207	1465
124	208	1456
125	208	1449
126	209	1439
127	210	1431
128	210	1424
129	211	1417
130	212	1411
131	213	1404
132	214	1395
133	214	1389
134	215	1382
135	216	1374
136	216	1366
137	217	1358
138	218	1354
139	219	1350
140	220	1343
141	221	1336
142	222	1331
143	222	1324
144	223	1319
145	224	1314
146	225	1307
147	226	1302
148	227	1297
149	228	1294
150	229	1289
151	229	1283
152	230	1276
153	231	1269
154	231	1263
155	232	1256
156	232	1250
157	233	1244
158	234	1240
159	235	1235
160	235	1228
161	236	1222
162	236	1216
